rep,method,k,n,h,value
15,LP0,1,200,0.15000000000000002,10.811241925111617
15,LP1,1,200,0.15000000000000002,2.6751690619236763
15,SPARR,1,200,0.15000000000000002,9.75380324411602
15,LP0,1,200,0.17,10.1451643466765
15,LP1,1,200,0.17,4.982826152495655
15,SPARR,1,200,0.17,10.364140222627258
15,LP0,1,200,0.19,6.944982619965541
15,LP1,1,200,0.19,15.957303002485665
15,SPARR,1,200,0.19,11.132892415642733
15,LP0,1,200,0.21000000000000002,9.021418210220366
15,LP1,1,200,0.21000000000000002,8.096689254437972
15,SPARR,1,200,0.21000000000000002,11.990518974892128
15,LP0,1,200,0.23,8.562236424698348
15,LP1,1,200,0.23,9.957104426600571
15,SPARR,1,200,0.23,12.886314379960007
15,LP0,1,200,0.25,9.407571764206486
15,LP1,1,200,0.25,7.786328374325083
15,SPARR,1,200,0.25,13.78117538492282
16,LP0,1,200,0.01,34.90191809561218
